datum,transaction,instrument,holder,location,measure,value,edate,year,month,day
"2015-03","ZT","D","IZ","IA","BTF",98.884166,20148,2015,3,1
"2015-03","ZT","D","AZ","II","TT",741.2,20148,2015,3,1
"2015-03","ZT","D","AZ","II","BMF",58.9,20148,2015,3,1
"2015-03","ZT","D","AZ","II","BTF",79.465731,20148,2015,3,1
"2015-03","ZT","EG","IZ","II","TT",544.7,20148,2015,3,1
"2015-03","ZT","EG","IZ","II","BMF",35.1,20148,2015,3,1
"2015-03","ZT","EG","IZ","II","BTF",64.439141,20148,2015,3,1
"2015-03","ZT","EG","IZ","IA","TT",1191.4,20148,2015,3,1
"2015-03","ZT","EG","IZ","IA","BMF",86.2,20148,2015,3,1
"2015-03","ZT","EG","IZ","IA","BTF",72.351855,20148,2015,3,1
"2015-03","PGT","K","IZ","II","TT",11803.2,20148,2015,3,1
"2015-03","PGT","K","IZ","II","BMF",1234.6,20148,2015,3,1
"2015-03","PGT","K","IZ","II","BTF",104.59875,20148,2015,3,1
"2015-03","PGT","K","IZ","IA","TT",3740.7,20148,2015,3,1
"2015-03","PGT","K","IZ","IA","BMF",598.9,20148,2015,3,1
"2015-03","PGT","K","IZ","IA","BTF",160.10372,20148,2015,3,1
"2015-03","PGT","K","AZ","II","TT",3296.6,20148,2015,3,1
"2015-03","PGT","K","AZ","II","BMF",554.4,20148,2015,3,1
"2015-03","PGT","K","AZ","II","BTF",168.17327,20148,2015,3,1
"2015-03","PGT","D","IZ","II","TT",52172.6,20148,2015,3,1
"2015-03","PGT","D","IZ","II","BMF",3359.6,20148,2015,3,1
"2015-03","PGT","D","IZ","II","BTF",64.393954,20148,2015,3,1
"2015-03","PGT","D","IZ","IA","TT",1879.6,20148,2015,3,1
"2015-03","PGT","D","IZ","IA","BMF",185.9,20148,2015,3,1
"2015-03","PGT","D","IZ","IA","BTF",98.904022,20148,2015,3,1
"2015-03","PGT","D","AZ","II","TT",728.3,20148,2015,3,1
"2015-03","PGT","D","AZ","II","BMF",56.3,20148,2015,3,1
"2015-03","PGT","D","AZ","II","BTF",77.303309,20148,2015,3,1
"2015-03","PGT","EG","IZ","II","TT",429.4,20148,2015,3,1
"2015-03","PGT","EG","IZ","II","BMF",25,20148,2015,3,1
"2015-03","PGT","EG","IZ","II","BTF",58.220773,20148,2015,3,1
"2015-03","PGT","EG","IZ","IA","TT",281.3,20148,2015,3,1
"2015-03","PGT","EG","IZ","IA","BMF",29.3,20148,2015,3,1
"2015-03","PGT","EG","IZ","IA","BTF",104.15926,20148,2015,3,1
"2015-03","PGKL","K","IZ","II","TT",1469.3,20148,2015,3,1
"2015-03","PGKL","K","IZ","II","BMF",36.2,20148,2015,3,1
"2015-03","PGKL","K","IZ","II","BTF",24.637583,20148,2015,3,1
"2015-03","PGKL","K","AZ","II","TT",16.4,20148,2015,3,1
"2015-03","PGKL","K","AZ","II","BMF",.5,20148,2015,3,1
"2015-03","PGKL","K","AZ","II","BTF",30.487805,20148,2015,3,1
"2015-03","PGKL","D","IZ","II","TT",8.4,20148,2015,3,1
"2015-03","PGKL","D","IZ","II","BMF",.3,20148,2015,3,1
