"Date","Cardholder origin","Merchant category","Amount CHF","Number of transactions"
"2019-01-15","Foreign","Other",395581.1,1103
"2019-01-15","Foreign","Personal services",88813.83,998
"2019-01-15","Foreign","Professional services",1901761.39,8114
"2019-01-15","Foreign","Retail: Food, beverage, tobacco",1073824.97,38139
"2019-01-15","Foreign","Retail: Fuel stations",541203.570000001,12525
"2019-01-15","Foreign","Retail: Other goods",6346937.34000004,24051
"2019-01-15","Foreign","Transport services",1142816.41,20675
"2019-01-16","Domestic","Accommodation",2763480.46,36817
"2019-01-16","Domestic","Entertainment and sports",2307278.99,20649
"2019-01-16","Domestic","Food and beverage services",8714058.15999999,273096
"2019-01-16","Domestic","Human health services",2524840.27,11271
"2019-01-16","Domestic","Other",1868737.22,9736
"2019-01-16","Domestic","Personal services",2220219.65,21203
"2019-01-16","Domestic","Professional services",3880940.99,32422
"2019-01-16","Domestic","Retail: Food, beverage, tobacco",35756521.73,1028373
"2019-01-16","Domestic","Retail: Fuel stations",10207260.8,221610
"2019-01-16","Domestic","Retail: Other goods",42273905.59,456670
"2019-01-16","Domestic","Transport services",3634266.58,164387
"2019-01-16","Foreign","Accommodation",3637827.43,12799
"2019-01-16","Foreign","Entertainment and sports",172523.11,1561
"2019-01-16","Foreign","Food and beverage services",1559587.28,38136
"2019-01-16","Foreign","Human health services",305588.47,636
"2019-01-16","Foreign","Other",375295.26,1120
"2019-01-16","Foreign","Personal services",107857.45,986
"2019-01-16","Foreign","Professional services",1824250.54,7663
"2019-01-16","Foreign","Retail: Food, beverage, tobacco",1122759.31,39206
"2019-01-16","Foreign","Retail: Fuel stations",569930.540000001,13084
"2019-01-16","Foreign","Retail: Other goods",5493242.82000001,25422
"2019-01-16","Foreign","Transport services",1069029.46,21429
"2019-01-17","Domestic","Accommodation",3208740.79,38366
"2019-01-17","Domestic","Entertainment and sports",2245654,19865
"2019-01-17","Domestic","Food and beverage services",9479578.25000001,284921
"2019-01-17","Domestic","Human health services",2506739.33,10891
"2019-01-17","Domestic","Other",1910772.21,8839
"2019-01-17","Domestic","Personal services",2510621.85,23588
