"Date","Region","Canton","Amount CHF","Number of transactions"
"2019-01-11","Espace Mittelland","JU",936764.44,14467
"2019-01-11","Espace Mittelland","NE",2848163.17,49293
"2019-01-11","Espace Mittelland","SO",3213927.5,55208
"2019-01-11","Lake Geneva","GE",14119874.79,219287
"2019-01-11","Lake Geneva","VD",16598912.07,275819
"2019-01-11","Lake Geneva","VS",8675519.54999999,109749
"2019-01-11","Northwestern","AG",9848403.06,162299
"2019-01-11","Northwestern","BL",3704094.69,61919
"2019-01-11","Northwestern","BS",3871251.89,81233
"2019-01-11","Ticino","TI",4984396.4,70609
"2019-01-11","Zurich","ZH",32324159.62,647437
"2019-01-12","9999","9999",35230.08,935
"2019-01-12","Central","LU",9827182.17,131034
"2019-01-12","Central","NW",1029154.39,13349
"2019-01-12","Central","OW",875834.01,12324
"2019-01-12","Central","SZ",3702036.49,48101
"2019-01-12","Central","UR",646371.71,7904
"2019-01-12","Central","ZG",3531297.62,47941
"2019-01-12","Eastern","AI",208973.7,2317
"2019-01-12","Eastern","AR",505227.32,6787
"2019-01-12","Eastern","GL",662005.53,10023
"2019-01-12","Eastern","GR",7989185.61999999,85234
"2019-01-12","Eastern","SG",10878043.17,143411
"2019-01-12","Eastern","SH",1359159.06,21864
"2019-01-12","Eastern","TG",4332959.58,62245
"2019-01-12","Espace Mittelland","BE",20166929.66,303376
"2019-01-12","Espace Mittelland","FR",4998145.13,73516
"2019-01-12","Espace Mittelland","JU",1080751.44,15530
"2019-01-12","Espace Mittelland","NE",3698522.82,55230
"2019-01-12","Espace Mittelland","SO",4373614.6,65749
"2019-01-12","Lake Geneva","GE",15455757.83,208459
"2019-01-12","Lake Geneva","VD",21558870.46,303679
"2019-01-12","Lake Geneva","VS",10071707.18,123896
"2019-01-12","Northwestern","AG",14271147.26,196418
"2019-01-12","Northwestern","BL",4855510.35,67829
"2019-01-12","Northwestern","BS",5047116.01,82648
"2019-01-12","Ticino","TI",6515925.5,82234
"2019-01-12","Zurich","ZH",41769631.4,638352
"2019-01-13","9999","9999",27380.53,690
"2019-01-13","Central","LU",1667614.72,33499
"2019-01-13","Central","NW",208016.37,2401
"2019-01-13","Central","OW",338131.19,3712
"2019-01-13","Central","SZ",689709.79,11004
"2019-01-13","Central","UR",266989.97,2303
"2019-01-13","Central","ZG",451861.9,9820
"2019-01-13","Eastern","AI",36716.64,313
"2019-01-13","Eastern","AR",123163.97,1691
"2019-01-13","Eastern","GL",112741.1,2760
"2019-01-13","Eastern","GR",3595094.35,31164
"2019-01-13","Eastern","SG",1386116.3,29361
"2019-01-13","Eastern","SH",212235.66,5279
"2019-01-13","Eastern","TG",510210.25,10505
"2019-01-13","Espace Mittelland","BE",4133326.57,76819
"2019-01-13","Espace Mittelland","FR",926088.22,20349
"2019-01-13","Espace Mittelland","JU",148858.72,3368
"2019-01-13","Espace Mittelland","NE",442722.84,10225
"2019-01-13","Espace Mittelland","SO",509938.54,12462
"2019-01-13","Lake Geneva","GE",3342860.36,68513
"2019-01-13","Lake Geneva","VD",3051128.67,68563
"2019-01-13","Lake Geneva","VS",3232294.74,40433
"2019-01-13","Northwestern","AG",1704837.29,40349
"2019-01-13","Northwestern","BL",623525.46,15385
"2019-01-13","Northwestern","BS",834258.72,24186
"2019-01-13","Ticino","TI",2329423.72,30500
"2019-01-13","Zurich","ZH",7320147.32,182594
"2019-01-14","9999","9999",33654.22,1176
"2019-01-14","Central","LU",5846376.91,96334
"2019-01-14","Central","NW",522541.55,8108
"2019-01-14","Central","OW",347542.39,5507
"2019-01-14","Central","SZ",1837157.3,29390
"2019-01-14","Central","UR",300120.38,4779
"2019-01-14","Central","ZG",2052376.61,40652
"2019-01-14","Eastern","AI",85824.68,1229
"2019-01-14","Eastern","AR",290799.25,4964
"2019-01-14","Eastern","GL",309392.04,5726
"2019-01-14","Eastern","GR",3446377.77,44859
"2019-01-14","Eastern","SG",5504768.26,99718
