"Date","Payment method","Merchant category","Amount CHF","Number of transactions"
"2019-01-12","Debit","Accommodation",1866390.52,15980
"2019-01-12","Debit","Food and beverage services",7724205.78,191514
"2019-01-12","Debit","Other",5506024.17,50866
"2019-01-12","Debit","Professional services",1152326.41,11582
"2019-01-12","Debit","Retail: Food, beverage, tobacco",54882177.78,1018628
"2019-01-12","Debit","Retail: Fuel stations",8222475.21,176091
"2019-01-12","Debit","Retail: Other goods",51145521.43,560129
"2019-01-12","Debit","Transport services",2049826.23,55657
"2019-01-12","Mobile","Accommodation",4264.7,75
"2019-01-12","Mobile","Food and beverage services",29483.18,783
"2019-01-12","Mobile","Other",40702.4,541
"2019-01-12","Mobile","Professional services",14211.45,196
"2019-01-12","Mobile","Retail: Food, beverage, tobacco",164426.29,3270
"2019-01-12","Mobile","Retail: Fuel stations",5740.44,145
"2019-01-12","Mobile","Retail: Other goods",420301.19,1740
"2019-01-12","Mobile","Transport services",19809.29,574
"2019-01-13","Credit","Accommodation",6084757.74,18580
"2019-01-13","Credit","Food and beverage services",3827538.27999999,70096
"2019-01-13","Credit","Other",2602074.7,23664
"2019-01-13","Credit","Professional services",1931189.78999999,16660
"2019-01-13","Credit","Retail: Food, beverage, tobacco",1436975.6,51640
"2019-01-13","Credit","Retail: Fuel stations",2363341.9,49890
"2019-01-13","Credit","Retail: Other goods",7064961.10000003,45874
"2019-01-13","Credit","Transport services",2804134.94,96813
"2019-01-13","Debit","Accommodation",1793438,11907
"2019-01-13","Debit","Food and beverage services",4330671.3,114409
"2019-01-13","Debit","Other",1725110.78,28159
"2019-01-13","Debit","Professional services",247744.28,3589
"2019-01-13","Debit","Retail: Food, beverage, tobacco",2886318.89,132609
"2019-01-13","Debit","Retail: Fuel stations",6505319.38,159405
"2019-01-13","Debit","Retail: Other goods",1915045.81,28941
"2019-01-13","Debit","Transport services",606276.5,22851
"2019-01-13","Mobile","Accommodation",5875.75,33
"2019-01-13","Mobile","Food and beverage services",22415.52,573
"2019-01-13","Mobile","Other",23265.85,364
"2019-01-13","Mobile","Professional services",26608.4,258
"2019-01-13","Mobile","Retail: Food, beverage, tobacco",13355.04,531
"2019-01-13","Mobile","Retail: Fuel stations",4754.86,183
"2019-01-13","Mobile","Retail: Other goods",308679.16,1344
"2019-01-13","Mobile","Transport services",11787.69,251
"2019-01-14","Credit","Accommodation",5026940.63,25269
"2019-01-14","Credit","Food and beverage services",3465313.89999999,95884
"2019-01-14","Credit","Other",3791796.09,22836
"2019-01-14","Credit","Professional services",4545139.32,28642
"2019-01-14","Credit","Retail: Food, beverage, tobacco",9236388.97999995,248835
"2019-01-14","Credit","Retail: Fuel stations",2633603.77999999,51267
"2019-01-14","Credit","Retail: Other goods",19630754.3499998,138778
"2019-01-14","Credit","Transport services",3347608.22,129980
"2019-01-14","Debit","Accommodation",796933.55,17406
"2019-01-14","Debit","Food and beverage services",3604600.86,159067
"2019-01-14","Debit","Other",4329200.13,29103
"2019-01-14","Debit","Professional services",1891038.19,14695
"2019-01-14","Debit","Retail: Food, beverage, tobacco",29248176.13,848946
"2019-01-14","Debit","Retail: Fuel stations",7237933.69,162831
"2019-01-14","Debit","Retail: Other goods",24596714.4,323379
