"Date","Cardholder origin","Cardholder origin detail","Scaled Value","Scaled Number of Transactions"
"2021-08-04","Foreign","DEU",1.27430132822401,1.59893848213005
"2021-08-04","Foreign","FRA",1.06302052515672,1.80405696141869
"2021-08-04","Foreign","GBR",0.425223972048974,0.509278424798841
"2021-08-04","Foreign","ITA",0.31984675652607,0.470192053434808
"2021-08-04","Foreign","LIE",0.164532619689074,0.193256615283383
"2021-08-04","Foreign","NLD",0.521595520904805,0.841138711753986
"2021-08-04","Foreign","RUS",0.0910292340907821,0.0580857466618539
"2021-08-04","Foreign","RoW",3.01707969225413,2.17303230709516
"2021-08-04","Foreign","USA",0.671048658105354,0.465807582212234
"2021-08-05","Domestic","CHE",67.5862076424863,113.341504084356
"2021-08-05","Foreign","AUT",0.125948232773342,0.176296528926294
"2021-08-05","Foreign","CHN",0.762054262922784,0.0458160248684489
"2021-08-05","Foreign","DEU",1.21323686752323,1.59632139465611
"2021-08-05","Foreign","FRA",1.03459956881393,1.85860794058328
"2021-08-05","Foreign","GBR",0.437149224582525,0.506593361026877
"2021-08-05","Foreign","ITA",0.339879892568025,0.52793791860654
"2021-08-05","Foreign","LIE",0.154395962954703,0.187478629951309
"2021-08-05","Foreign","NLD",0.471009887143512,0.775371643415374
"2021-08-05","Foreign","RUS",0.0859594783337832,0.0629800401196111
"2021-08-05","Foreign","RoW",2.59507584505285,2.25742488109246
"2021-08-05","Foreign","USA",0.698611120732558,0.486200471619556
"2021-08-06","Domestic","CHE",75.1467537609675,123.317433677225
"2021-08-06","Foreign","AUT",0.131604377496368,0.189585895190065
"2021-08-06","Foreign","CHN",0.453573962251284,0.0466997167427661
"2021-08-06","Foreign","DEU",1.3542738990001,1.76269338407084
"2021-08-06","Foreign","FRA",1.07635405731952,1.92865751569743
"2021-08-06","Foreign","GBR",0.415378776958131,0.530758934974553
"2021-08-06","Foreign","ITA",0.365445274330753,0.546937293904362
"2021-08-06","Foreign","LIE",0.181132951759076,0.207905507507642
"2021-08-06","Foreign","NLD",0.547547938730258,0.886648843281325
"2021-08-06","Foreign","RUS",0.0792012868579022,0.0688260017497099
"2021-08-06","Foreign","RoW",2.67807533984301,2.40102481066902
"2021-08-06","Foreign","USA",0.644459232820777,0.52484499704643
"2021-08-07","Domestic","CHE",80.700148409772,120.405023176519
"2021-08-07","Foreign","AUT",0.130143145425251,0.18193856166232
"2021-08-07","Foreign","CHN",0.272702863097649,0.0450682855901804
"2021-08-07","Foreign","DEU",1.51701619984056,1.98609748752805
"2021-08-07","Foreign","FRA",1.05551820737133,1.6834670087234
"2021-08-07","Foreign","GBR",0.345587564301121,0.497144655601485
"2021-08-07","Foreign","ITA",0.38422878443597,0.571544713789196
"2021-08-07","Foreign","LIE",0.197034822245541,0.227890539126817
"2021-08-07","Foreign","NLD",0.605680055166717,0.967812543122464
"2021-08-07","Foreign","RUS",0.107718702640738,0.0627081349275135
"2021-08-07","Foreign","RoW",2.45352356305539,2.33981215429804
"2021-08-07","Foreign","USA",0.555165364049781,0.491332682120398
"2021-08-08","Domestic","CHE",24.3144230080952,47.3354310818904
"2021-08-08","Foreign","AUT",0.0952813049915877,0.141764569529896
"2021-08-08","Foreign","CHN",0.100880671319796,0.0315070141343117
"2021-08-08","Foreign","DEU",1.12882914792813,1.40863883581073
"2021-08-08","Foreign","FRA",0.693518467998216,1.22190794513769
"2021-08-08","Foreign","GBR",0.249103006898655,0.360376343976382
"2021-08-08","Foreign","ITA",0.317087985995931,0.47144961494826
"2021-08-08","Foreign","LIE",0.0417471733775454,0.0686220728556367
"2021-08-08","Foreign","NLD",0.413814792400523,0.670416239265693
"2021-08-08","Foreign","RUS",0.0526088462368191,0.0403099447284721
"2021-08-08","Foreign","RoW",1.68489143361186,1.68944892294955
"2021-08-08","Foreign","USA",0.402600250765566,0.398545035317086
"2021-08-09","Domestic","CHE",63.956474776669,113.811696137791
"2021-08-09","Foreign","AUT",0.131645151111572,0.192202982664005
"2021-08-09","Foreign","CHN",0.414466559344444,0.0492148397696691
"2021-08-09","Foreign","DEU",1.33112586160646,1.80929113636657
"2021-08-09","Foreign","FRA",1.17719608142375,2.0455767482994
"2021-08-09","Foreign","GBR",0.608999145708175,0.652946330673421
"2021-08-09","Foreign","ITA",0.423536762044802,0.650091326156396
"2021-08-09","Foreign","LIE",0.137340804574878,0.179865284572575
"2021-08-09","Foreign","NLD",0.548269058413831,0.891033314503899
"2021-08-09","Foreign","RUS",0.135102731751157,0.0736863070584549
"2021-08-09","Foreign","RoW",2.74456694416521,2.43355146927369
"2021-08-09","Foreign","USA",0.754650652373731,0.54567973239091
"2021-08-10","Domestic","CHE",62.6460595306452,115.396665490677
"2021-08-10","Foreign","AUT",0.133255658003854,0.185303388414528
"2021-08-10","Foreign","CHN",0.316075690538395,0.0522057968827429
"2021-08-10","Foreign","DEU",1.29050338524977,1.73142428697962
"2021-08-10","Foreign","FRA",1.10700407180469,2.03126773756527
"2021-08-10","Foreign","GBR",0.370312332902141,0.540921391529202
"2021-08-10","Foreign","ITA",0.427762638678214,0.67221761116334
"2021-08-10","Foreign","LIE",0.139147637285892,0.175548789648026
"2021-08-10","Foreign","NLD",0.498691036548436,0.855277781743062
"2021-08-10","Foreign","RUS",0.160058490792672,0.0768132167675775
"2021-08-10","Foreign","RoW",2.86153935035483,2.36931386764063
"2021-08-10","Foreign","USA",0.616081532850777,0.523995293321125
"2021-08-11","Domestic","CHE",61.9976009591151,116.118267882355
"2021-08-11","Foreign","AUT",0.131839534583672,0.195873702757323
"2021-08-11","Foreign","CHN",0.35952772342873,0.0506763301771938
"2021-08-11","Foreign","DEU",1.36552803161179,1.78267841569002
"2021-08-11","Foreign","FRA",1.12579805726725,2.09054306944255
"2021-08-11","Foreign","GBR",0.389821556184078,0.536604896604652
"2021-08-11","Foreign","ITA",0.430409465819549,0.701889265250992
"2021-08-11","Foreign","LIE",0.143795817671091,0.185745234351686
"2021-08-11","Foreign","NLD",0.477101434710033,0.853612362441464
"2021-08-11","Foreign","RUS",0.125170315114844,0.0770511338106629
"2021-08-11","Foreign","RoW",2.80925196640177,2.42943890324322
"2021-08-11","Foreign","USA",0.641003214673746,0.524675056301369
"2021-08-12","Domestic","CHE",63.7514995826481,119.779505282098
"2021-08-12","Foreign","AUT",0.142861415795962,0.200224185830884
"2021-08-12","Foreign","CHN",0.458250666936632,0.0527496072669382
"2021-08-12","Foreign","DEU",1.43150627293572,1.88426899308749
"2021-08-12","Foreign","FRA",1.17835685283408,2.16698241657099
"2021-08-12","Foreign","GBR",0.409407917256284,0.562299937257877
"2021-08-12","Foreign","ITA",0.481592057888728,0.74784124271549
"2021-08-12","Foreign","LIE",0.137563234592511,0.181530703874173
"2021-08-12","Foreign","NLD",0.517589693347992,0.880598952757153
"2021-08-12","Foreign","RUS",0.131850350634881,0.0700835632631614
"2021-08-12","Foreign","RoW",3.07934501659271,2.54911117591518
"2021-08-12","Foreign","USA",0.691650001025802,0.539187995929579
