"CubeId";"plkoprex"
"PublishingDate";"2023-07-21 09:00"

"Date";"D0";"Value"
"1986-02";"K2";
"1986-02";"T7";"68.5958"
"1986-03";"T0";"0"
"1986-03";"IG";"0"
"1986-03";"T1";"74.3149"
"1986-03";"IW";"49.2542"
"1986-03";"T2";"68.882"
"1986-03";"IE";"70.0063"
"1986-03";"T3";"69.0936"
"1986-03";"IT";"31.5652"
"1986-03";"T4";"68.8183"
"1986-03";"IAG";"63.0903"
"1986-03";"T5";
"1986-03";"IBS";
"1986-03";"T6";
"1986-03";"IAP";
"1986-03";"K1";
"1986-03";"FP";
"1986-03";"ET";
"1986-03";"K2";
"1986-03";"T7";"68.6804"
"1986-04";"T0";"0"
"1986-04";"IG";"0"
"1986-04";"T1";"74.265"
"1986-04";"IW";"49.2542"
"1986-04";"T2";"68.9862"
"1986-04";"IE";"66.9737"
"1986-04";"T3";"69.0554"
"1986-04";"IT";"31.5652"
"1986-04";"T4";"68.7795"
"1986-04";"IAG";"63.0903"
"1986-04";"T5";
"1986-04";"IBS";
"1986-04";"T6";
"1986-04";"IAP";
"1986-04";"K1";
"1986-04";"FP";
"1986-04";"ET";
"1986-04";"K2";
"1986-04";"T7";"68.6427"
"1986-05";"T0";"0"
"1986-05";"IG";"0"
"1986-05";"T1";"73.6682"
"1986-05";"IW";"50.2146"
"1986-05";"T2";"68.8847"
"1986-05";"IE";"64.4742"
"1986-05";"T3";"68.8438"
"1986-05";"IT";"31.5809"
"1986-05";"T4";"68.5547"
"1986-05";"IAG";"63.397"
"1986-05";"T5";
"1986-05";"IBS";
"1986-05";"T6";
"1986-05";"IAP";
"1986-05";"K1";
"1986-05";"FP";
"1986-05";"ET";
"1986-05";"K2";
"1986-05";"T7";"68.4336"
"1986-06";"T0";"0"
"1986-06";"IG";"0"
"1986-06";"T1";"73.6501"
"1986-06";"IW";"50.2146"
"1986-06";"T2";"69.0445"
"1986-06";"IE";"60.7977"
"1986-06";"T3";"68.8298"
"1986-06";"IT";"31.5809"
"1986-06";"T4";"68.5406"
"1986-06";"IAG";"63.397"
"1986-06";"T5";
"1986-06";"IBS";
"1986-06";"T6";
"1986-06";"IAP";
"1986-06";"K1";
"1986-06";"FP";
"1986-06";"ET";
"1986-06";"K2";
"1986-06";"T7";"68.4198"
"1986-07";"T0";"0"
"1986-07";"IG";"0"
"1986-07";"T1";"73.223"
"1986-07";"IW";"50.2146"
"1986-07";"T2";"69.0208"
"1986-07";"IE";"54.1298"
"1986-07";"T3";"68.5029"
"1986-07";"IT";"31.5809"
"1986-07";"T4";"68.2077"
"1986-07";"IAG";"63.397"
"1986-07";"T5";
"1986-07";"IBS";
"1986-07";"T6";
"1986-07";"IAP";
"1986-07";"K1";
